Crop,Variety,Description,S_b_temp,S_t_time,Opt_temp,G_b_temp,G_t_time,Max_temp,F_b_temp,F_t_time,Sensitivity,R_growth,S_l_area,Index_green,Extinction,Radiation,Root_growth,S_crop,Index_n,Slope,Potential,Nitrogen,S_storage,S_htemp
Chick pea,Annaigeri,,0,95.1,25,0,874.55,40,0,1385.5,1,0.004,0.0015,1,0.75,1.2,15,1,1,7500,100,0.038,1,1
Chick pea,JG 74,,0,90.9,25,0,1159.3,40,0,1137.85,1,0.004,0.0015,1,0.75,1.2,15,1,1,7500,100,0.038,1,1
Chick pea,ICCV 95909,,0,123,25,0,2520,40,0,1336.5,1,0.004,0.0015,1,0.75,1.2,15,1,1,7500,100,0.038,1,1
Chick pea,GNG 469,,0,123.3,25,0,2493.4,40,0,1298.2,1,0.004,0.0015,1,0.75,1.2,15,1,1,7500,100,0.038,1,1
Chick pea,GL 92162,,0,123.3,25,0,2427,40,0,1465.8,1,0.004,0.0015,1,0.75,1.2,15,1,1,7500,100,0.038,1,1
Chick pea,Default,Most commonly grown variety of Chick pea growing region,0,75,25,0,875,40,0,1385,1,0.004,0.0015,1,0.75,1.8,15,1,1,10000,100,0.038,1,1
Cotton,Default,Common variety of Cotton grown in many regions of India.,12,70,35,12,1000,42,12,1800,1,0.007,0.002,1,0.6,1.8,12,1,1,90,4500,0.03,1,1
Cotton,NHH44,,9,70,35,9,1100,42,12,1750,1,0.007,0.002,1,0.6,1.4,12,1,1,70,5000,0.03,1,1
Cotton,G.COT.HY-10,,9,84,35,9,1000,42,12,2300,1,0.007,0.002,1,0.6,1.4,12,1,1,70,5000,0.03,1,1
Cotton,G.COT.HY-8,,9,80,35,9,800,42,12,1800,1,0.007,0.002,1,0.6,1.4,12,1,1,70,5000,0.03,1,1
Cotton,Abadthita,,9,70,35,9,1100,42,12,1750,1,0.007,0.002,1,0.6,1.4,12,1,1,70,5000,0.03,1,1
Cotton,LRA 5166,,9,70,35,9,1100,42,12,1750,1,0.007,0.002,1,0.6,1.4,12,1,1,70,5000,0.03,1,1
